Order ID,Date,Time,date_time,Kiosk,Product,Qty,Subtotal,Unit Price_BD,Unit_Price_AD,Discount Applied,Total,COGS,Margin,Fridge Type,Promotion Label,,,,,,,,,,,
1589PXDIEQ,9/4/19,3:35:14 PM,3:35:14 PM,One Boston Place,SmartSweets Gummy Bears,1,3.49,3.49,2.62,0.87,2.62,2.49,1,Byte,,,,,,,,,,,,
1588PXDI0R,9/4/19,3:26:51 PM,3:26:51 PM,Kronos,Almond Energy Bites,1,4.98,4.98,4.98,0,4.98,2,2.98,Byte,,,,,,,,,,,,
1588PXDH1M,9/4/19,3:05:46 PM,3:05:46 PM,Kronos,Almond Energy Bites,1,4.98,4.98,4.98,0,4.98,2,2.98,Byte,,,,,,,,,,,,
1582PXDG3D,9/4/19,2:45:13 PM,2:45:13 PM,53 State,Spring Mix Apple Brie,1,7.98,7.98,7.98,0,7.98,3,4.98,Byte,,,,,,,,,,,,
1584PXDFLN,9/4/19,2:34:35 PM,2:34:35 PM,Robins Kaplan,Pulled Buffalo Chicken Bowl,1,7.98,7.98,7.18,0.8,7.18,3.5,4.48,Byte,,,,,,,,,,,,
1588PXDEO6,9/4/19,2:14:30 PM,2:14:30 PM,Kronos,Love Corn,1,2.25,2.25,2.25,0,2.25,0,2.25,Byte,,,,,,,,,,,,
1583PXDE3U,9/4/19,2:02:18 PM,2:02:18 PM,Lionbridge,Zesty Burrito Bowl,1,7.98,7.98,7.98,0,7.98,1,6.98,Byte,,,,,,,,,,,,
1581PXDDNE,9/4/19,1:52:26 PM,1:52:26 PM,Waltham Watch Factory,Dark Chocolate PB Cups,1,2.99,2.99,2.69,0.3,2.69,0,2.99,Byte,,,,,,,,,,,,
1588PXDDKO,9/4/19,1:50:48 PM,1:50:48 PM,Kronos,DrinkSimple Maple Water,1,2.98,2.98,2.98,0,2.98,0,2.98,Byte,,,,,,,,,,,,
1588PXDDJK,9/4/19,1:50:08 PM,1:50:08 PM,Kronos,Apple Cinnamon Overnight Oats,1,4.98,4.98,4.98,0,4.98,2,2.98,Byte,,,,,,,,,,,,
1588PXDDJK,9/4/19,1:50:08 PM,1:50:08 PM,Kronos,Zesty Burrito Bowl,1,7.98,7.98,7.98,0,7.98,1,6.98,Byte,,,,,,,,,,,,
1588PXDD3O,9/4/19,1:40:36 PM,1:40:36 PM,Kronos,Zesty Burrito Bowl,1,7.98,7.98,7.98,0,7.98,1,6.98,Byte,,,,,,,,,,,,
1584PXDCD1,9/4/19,1:24:37 PM,1:24:37 PM,Robins Kaplan,Lifeway Kefir,1,3.49,3.49,0,3.49,0,,,Byte,,,,,,,,,,,,
1584PXDCD1,9/4/19,1:24:37 PM,1:24:37 PM,Robins Kaplan,6AM Health Juice - Cleanse,1,5.98,5.98,0,5.98,0,,,Byte,,,,,,,,,,,,
1588PXDBXK,9/4/19,1:15:20 PM,1:15:20 PM,Kronos,Arugula Caprese,1,7.98,7.98,7.98,0,7.98,2.97,5.01,Byte,,,,,,,,,,,,
1590PXDBAW,9/4/19,1:01:44 PM,1:01:44 PM,GSV,Zesty Burrito Bowl,1,7.98,7.98,7.98,0,7.98,1,6.98,Byte,,,,,,,,,,,,
1588PXDB1A,9/4/19,12:55:58 PM,12:55:58 PM,Kronos,Dark Chocolate Overnight Oats,1,4.98,4.98,4.98,0,4.98,1,3.98,Byte,,,,,,,,,,,,
1588PXDAF7,9/4/19,12:42:43 PM,12:42:43 PM,Kronos,Zesty Burrito Bowl,1,7.98,7.98,7.98,0,7.98,1,6.98,Byte,,,,,,,,,,,,
1582PXD9W2,9/4/19,12:31:14 PM,12:31:14 PM,53 State,Vermont Cheddar & Grapes,1,3.49,3.49,3.49,0,3.49,1,2.49,Byte,,,,,,,,,,,,
